Date,Open,High,Low,Close,Adj Close,Volume
1999-12-27,52.554497,52.792839,51.601124,51.839466,32.026199,5350600
1999-12-28,52.375740,54.044136,52.256569,53.209938,32.872875,2749100
1999-12-29,54.282478,54.342064,53.627037,54.103722,33.425041,1304100
1999-12-30,53.984550,54.461235,53.209938,54.103722,33.425041,1078300
1999-12-31,54.103722,55.355019,54.103722,54.997505,33.977242,963100
2000-01-03,54.997505,55.772118,53.865379,54.044136,33.388233,2203400
2000-01-04,53.746208,53.805794,51.541538,53.090767,32.799259,2800800
2000-01-05,53.150352,53.627037,52.137398,52.375740,32.357529,3121100
2000-01-06,52.912010,53.507866,51.958637,53.388695,32.983303,2504700
2000-01-07,54.103722,56.606316,53.805794,56.248802,34.750278,4136200
2000-01-10,56.665901,57.083000,55.593361,56.546730,34.934349,1539100
2000-01-11,57.142586,57.380928,56.010460,56.129631,34.676655,2770000
2000-01-12,56.606316,56.963829,56.308388,56.665901,35.007961,2146200
2000-01-13,57.142586,57.202171,56.725487,57.083000,35.265640,1619300
2000-01-14,57.202171,57.678856,56.487144,57.083000,35.265640,2673400
2000-01-18,56.963829,57.559685,54.937920,56.248802,34.750278,3339900
2000-01-19,56.248802,56.248802,50.051899,51.720295,31.952589,11968600
2000-01-20,51.958637,52.673668,50.111485,50.409412,31.142717,5447100
2000-01-21,50.528584,50.647755,47.608891,48.919773,30.222437,5312900
2000-01-24,49.038944,49.038944,44.808369,45.523396,28.124174,7284100
2000-01-25,44.093342,45.702152,42.901630,45.344639,28.013742,5290700
2000-01-26,45.702152,46.238422,43.974171,45.404224,28.050531,5003700
2000-01-27,44.927540,45.940495,42.544113,44.093342,27.240690,4920200
2000-01-28,43.020802,44.450855,42.722874,43.080387,26.614883,3293600
2000-01-31,43.080387,45.761738,43.080387,45.761738,28.271410,3558500
2000-02-01,45.761738,46.119251,44.927540,45.285053,27.976912,2989900
2000-02-02,45.761738,46.715107,45.523396,46.000080,28.418669,2725900
2000-02-03,46.000080,46.715107,44.570026,45.285053,27.976912,2564600
2000-02-04,45.285053,45.463810,44.093342,45.165882,27.903299,3830400
2000-02-07,44.808369,44.808369,42.424942,42.901630,26.504440,2786400
2000-02-08,43.855000,44.748783,42.842045,43.139973,26.651695,4716900
2000-02-09,42.424942,42.842045,40.518204,41.709915,25.768213,3887700
2000-02-10,41.233231,42.365356,40.399033,41.233231,25.473722,3323000
2000-02-11,40.518204,42.365356,40.279861,40.279861,24.884726,3398300
2000-02-14,41.233231,42.782459,40.637375,40.637375,25.105600,3405300
2000-02-15,40.875717,44.450855,40.756546,44.152927,27.277487,3576600
2000-02-16,43.974171,43.974171,42.544113,42.782459,26.538555,2862300
2000-02-17,44.093342,44.689198,43.318729,44.272099,27.462591,2501500
2000-02-18,44.033756,44.212513,41.888672,42.246185,26.205891,2509500
2000-02-22,42.007843,45.046711,40.994888,45.046711,27.943094,2590500
2000-02-23,45.046711,45.046711,41.888672,43.080387,26.723362,2300700
2000-02-24,43.080387,43.914585,40.577789,43.616657,27.056015,3674800
2000-02-25,43.616657,44.570026,42.305771,44.391270,27.536522,2698200
2000-02-28,44.450855,46.476765,43.318729,45.761738,28.386642,3050400
2000-02-29,46.715107,47.549305,45.582981,45.880909,28.460571,2803100
2000-03-01,46.715107,47.370548,44.391270,45.880909,28.460571,2389900
2000-03-02,45.880909,45.880909,42.901630,43.735828,27.129942,2390800
2000-03-03,43.974171,46.178837,42.663288,43.378315,26.908161,3312100
2000-03-06,43.616657,43.616657,41.948257,42.246185,26.205891,2419100
2000-03-07,41.471573,41.590744,39.266907,39.862762,24.727427,3324200
2000-03-08,39.743591,41.114059,38.432709,40.696960,25.244892,4569300
2000-03-09,42.305771,43.020802,40.816132,41.948257,26.021082,4907900
2000-03-10,43.378315,43.497486,41.829086,43.259144,26.834253,3396900
2000-03-13,42.782459,43.318729,41.829086,42.544113,26.390709,2238600
2000-03-14,42.603699,43.855000,42.186600,42.901630,26.612467,2446500
2000-03-15,42.067429,44.331684,41.471573,43.795414,27.166897,4191800
2000-03-16,45.642567,47.966404,44.391270,47.430134,29.421570,4170400
2000-03-17,46.357594,47.310963,44.689198,44.689198,27.721323,4578100
2000-03-20,45.523396,47.549305,44.093342,45.285053,28.090942,3576700
2000-03-21,44.808369,47.668476,44.748783,47.668476,29.569426,3217300
2000-03-22,47.072620,47.072620,44.093342,44.093342,27.351719,3007000
2000-03-23,44.570026,45.404224,43.735828,44.093342,27.351719,3422900
2000-03-24,44.152927,47.370548,43.855000,47.310963,29.347658,3155800
2000-03-27,46.476765,47.013035,44.808369,45.761738,28.386642,3039000
2000-03-28,45.165882,46.357594,44.450855,44.629612,27.684378,2426100
2000-03-29,44.450855,47.310963,44.450855,46.715107,28.978039,2610800
2000-03-30,46.774693,49.813557,46.715107,49.098530,30.456488,5189700
2000-03-31,50.528584,51.481953,48.741016,50.230656,31.158768,4237100
2000-04-03,52.435326,52.435326,50.826511,51.839466,32.156734,3496000
2000-04-04,52.316154,52.673668,49.456043,51.243610,31.787138,2987500
2000-04-05,51.005268,52.316154,50.290241,50.290241,31.195732,1990100
2000-04-06,50.766926,51.184025,48.621845,49.694386,30.826120,1841800
2000-04-07,49.336872,50.647755,49.098530,49.217701,30.530416,1321400
2000-04-10,49.217701,52.256569,48.741016,51.005268,31.639282,2335600
2000-04-11,51.720295,54.103722,51.601124,53.448280,33.154690,2895400
2000-04-12,52.792839,53.269524,50.051899,50.409412,31.269648,2072500
